year,month,day,date,zone,mean,max,min,sum,std,var,count,majority
2025,12,22,20251222,1001,32.48495483,38.28798294,24.21599388,65652.09375,2.256338596,5.091063499,2021,32.88751221
2025,1,4,202514,1002,28.25824356,37.23865128,20.64074516,75816.86719,3.275426388,10.72841835,2683,24.3903141
2025,1,28,2025128,1002,30.83101654,40.55071259,24.20232201,82719.61719,3.202147961,10.2537508,2683,26.92990112
2025,2,5,202525,1002,30.6740799,40.30803299,23.95622444,82298.55469,3.46696806,12.01986694,2683,26.75900078
2025,2,21,2025221,1002,31.65077782,40.66350555,24.92010689,84919.03906,3.397816181,11.54515457,2683,27.62034225
2025,3,1,202531,1002,33.82686615,44.02000046,26.71114922,90757.48438,3.669409037,13.46456242,2683,30.19411087
2025,4,10,2025410,1002,34.48725128,45.171875,21.71058464,92529.29688,4.180910587,17.4800148,2683,29.82154655
2025,5,12,2025512,1002,40.19192123,53.19396591,31.88261223,107834.9219,4.961628437,24.61775589,2683,34.43929291
2025,6,29,2025629,1002,31.30146027,41.16595459,18.81210518,83981.82031,3.785490036,14.32993507,2683,28.48168373
2025,7,15,2025715,1002,33.40881348,45.42822647,26.61202621,89635.84375,4.354689121,18.96331787,2683,29.85914421
2025,7,23,2025723,1002,33.74966049,45.47266006,22.87613106,90550.33594,4.318164825,18.64654732,2683,28.90893555
2025,7,31,2025731,1002,32.5573082,44.78221893,18.30282021,86407.09375,5.627727032,31.67131233,2654,29.48999977
2025,9,1,202591,1002,33.79153061,44.90868759,25.69941521,90662.67188,4.43442297,19.66410637,2683,29.26099205
2025,11,20,20251120,1002,30.42285538,40.87542343,23.85368347,81624.52344,3.478108168,12.09723568,2683,27.96898079
2025,11,28,20251128,1002,29.47862053,39.1835022,22.85220337,79091.14063,3.40000701,11.5600481,2683,25.37812042
2025,12,14,20251214,1002,30.15744972,39.77482224,24.1920681,80912.4375,3.183661699,10.13570118,2683,29.6950798
2025,12,22,20251222,1002,28.42233467,37.05407715,22.57192612,76257.125,2.878118038,8.283563614,2683,25.96260262
