zone,z1_mean,z1_max,z1_min,z1_sum,z1_std,z1_var,z1_count,z1_majority,zone,z2_mean,z2_max,z2_min,z2_sum,z2_std,z2_var,z2_count,z2_majority
1001,35.19416809,42.24946594,25.80879211,71127.41406,2.509540796,6.297794819,2021,34.032547,1002,30.83101654,40.55071259,24.20232201,82719.61719,3.202147961,10.2537508,2683,26.92990112
1001,35.41371155,41.96577072,25.3917923,71571.10938,2.619524717,6.861910343,2021,35.38266373,1002,30.6740799,40.30803299,23.95622444,82298.55469,3.46696806,12.01986694,2683,26.75900078
1001,36.27653503,42.43404007,26.99142647,73314.875,2.542818785,6.465927601,2021,36.35338211,1002,31.65077782,40.66350555,24.92010689,84919.03906,3.397816181,11.54515457,2683,27.62034225
1001,39.03635406,46.92873764,28.7277813,78892.46875,2.845730543,8.098181725,2021,38.98867798,1002,33.82686615,44.02000046,26.71114922,90757.48438,3.669409037,13.46456242,2683,30.19411087
1001,39.86975861,47.28079224,28.97729683,80576.78125,2.948190689,8.691827774,2021,38.94765854,1002,34.48725128,45.171875,21.71058464,92529.29688,4.180910587,17.4800148,2683,29.82154655
1001,47.18606186,54.74233246,34.05647278,95363.03125,3.55112958,12.61052132,2021,45.9751091,1002,40.19192123,53.19396591,31.88261223,107834.9219,4.961628437,24.61775589,2683,34.43929291
1001,36.80121231,43.68503571,26.65304184,74375.25,2.919864416,8.525608063,2021,35.54673004,1002,31.30146027,41.16595459,18.81210518,83981.82031,3.785490036,14.32993507,2683,28.48168373
1001,39.50280762,47.98832321,28.47484779,79835.17188,3.468061924,12.02745342,2021,39.77482224,1002,33.40881348,45.42822647,26.61202621,89635.84375,4.354689121,18.96331787,2683,29.85914421
1001,39.87991714,48.12504578,28.4406662,80597.3125,3.29612875,10.86446476,2021,38.91347885,1002,33.74966049,45.47266006,22.87613106,90550.33594,4.318164825,18.64654732,2683,28.90893555
1001,39.61466599,48.59331131,20.35704994,80061.24219,3.712050438,13.77931786,2021,41.23431396,1002,32.5573082,44.78221893,18.30282021,86407.09375,5.627727032,31.67131233,2654,29.48999977
1001,40.22100067,47.33547974,28.03734016,81286.64063,3.27486968,10.7247715,2021,39.10488892,1002,33.79153061,44.90868759,25.69941521,90662.67188,4.43442297,19.66410637,2683,29.26099205
1001,35.32282257,42.90914536,24.85516357,71387.42188,2.911281109,8.475558281,2021,36.37730789,1002,30.42285538,40.87542343,23.85368347,81624.52344,3.478108168,12.09723568,2683,27.96898079
1001,34.04859543,42.28023148,24.34246063,68812.21094,2.860631704,8.183214188,2021,33.72834396,1002,29.47862053,39.1835022,22.85220337,79091.14063,3.40000701,11.5600481,2683,25.37812042
1001,34.68125153,42.29390335,24.85858154,70090.8125,2.777909517,7.716780663,2021,35.32455826,1002,30.15744972,39.77482224,24.1920681,80912.4375,3.183661699,10.13570118,2683,29.6950798
1001,32.48495483,38.28798294,24.21599388,65652.09375,2.256338596,5.091063499,2021,32.88751221,1002,28.42233467,37.05407715,22.57192612,76257.125,2.878118038,8.283563614,2683,25.96260262
